id,title,risk_level,stock_adjustment,"Published At"
1,"5 important countries for Russia's sanctions-skirting economy",Low,25,2024-12-24
2,"Coffee’s Grip on America",Medium,0,2025-01-03
3,"A palm oil company, a group of US financiers, and the destruction of Peru's rainforest",Medium,0,2024-12-31
4,"Coffee’s Rally Forces Traders to Seek Alternative Hedging Plans",Medium,NULL,2024-12-24
5,"The Colombian coffee growers protecting the spectacled bear",Low,25,2024-12-22
6,"10 Weekend Reads",Medium,NULL,2025-01-04
7,"10 Weekend Reads",Medium,NULL,2024-12-28
8,"10 Weekend Reads",Low,NULL,2024-12-14
9,"US-sanctioned state to become BRICS partner",Low,NULL,2024-12-24
10,"How Christmas is celebrated in 21 places around the world",Medium,NULL,2024-12-17
11,"Everything You Should Order At NYC’s New Vietnamese Bakery, La La Bakeshop",Medium,0,2025-01-04
12,"Prices, EUDR and Value Inequity Defined the Year in Green Coffee",Medium,NULL,2024-12-30
13,"Wrong, NBC News, Climate Change Isn’t Causing Rising Coffee Prices, Production Is Increasing",Medium,NULL,2024-12-18
14,"Asian Development Bank and Ecom Sign $100 Million ‘Social Loan’ Deal",Low,NULL,2024-12-18
15,"Bob Dylan and Joan Baez's real-life relationship was short-lived and tumultuous — but inspired some of their best music",Medium,NULL,2024-12-26
16,"Now open: W Sao Paulo brings a new luxury Marriott hotel to Brazil",Low,50,2025-01-07
17,"How To Sample The World’s Most Expensive And Exotic Coffees",Medium,NULL,2024-12-31
18,"Weekly Coffee News: Vietnam Report + Taco Bell’s Cafe Concept",Medium,0,2024-12-13
19,"India's Tata faces pressure in Starbucks joint venture as consumers cut back",Low,60,2024-12-16
20,"Timeless Luxury On The Mekong River With Heritage Line Cruises",Medium,NULL,2024-12-14
21,"Ménard Dworkind combines bold yellows with muted tones in Montreal restaurant",Medium,NULL,2024-12-29
22,"Classic Cocktails",Medium,NULL,2024-12-31
23,"Why thousands of people are traveling to one country to see these birds",Low,NULL,2025-01-03
24,"One restaurant had three violations: Ada County food service inspections Dec. 3-9",Low,NULL,2024-12-24
25,"Onyx Coffee Lab Launches New Coffee Line, Bringing Artisanal Quality To Major Retailers",Low,NULL,2024-12-19
26,"Coffee prices are higher than ever. Here's what it means for your cup",Medium,NULL,2024-12-17
27,"Weekly Coffee News: Traders Find Alternatives + What Does ‘Forest’ Mean in EUDR",Low,NULL,2024-12-27
28,"2025 Is The Year For Biohacking Your Energy Levels With Clean Coffee",Low,NULL,2024-12-26
29,"Vietnam Lifestyle",Medium,0,2024-12-28
30,"NYT Crossword: answers for Sunday, December 29",Low,NULL,2024-12-29
31,"Josmo opens Mumbai store with "just the right amount of drama"",Low,NULL,2025-01-09
32,"Coffee prices hover near record highs on futures market",Medium,NULL,2024-12-17
33,"How Kenyan workers who earn $2 a day to grow coffee are being hit by climate change",Medium,0,2024-12-30
34,"Why Culture Enthusiasts Flock To Brazil For New Year’s Celebrations",Medium,0,2024-12-20
35,"The Sprudge Guide To Holiday Coffee Blends For 2024",Low,NULL,2024-12-12
36,"Why the price of coffee has spiked",Medium,NULL,2024-12-18
37,"Coffee Research in 2024 Focused on Climate Change, Quality and Human Health",Medium,NULL,2024-12-31
38,"Beyond Rooms: How Riads, Gers, and Local Spaces Redefine Global Travel",Medium,NULL,2024-12-13
39,"Motorola and OnePlus could learn from each other in 2025",Medium,NULL,2024-12-23
40,"Eight Day Road Trip of Western Ghats in Karnataka from Bangalore",Low,NULL,2024-12-17
41,"【ロフト】お正月限定ブレンド珈琲も登場！「TENJIN COFFEE MARKET」天神ロフトで初開催",Low,NULL,2024-12-23
42,"The Man Who Unraveled Ethiopia",Medium,0,2025-01-05
43,"A US ally wants to join BRICS. Why?",Medium,NULL,2025-01-09
44,"The Climate Crisis Is Also an Inflation Crisis",Medium,NULL,2024-12-30
45,"Coffee prices hover near record highs on futures market",Medium,NULL,2024-12-17
