Source,Title,Description,Content,Published At,URL
Business Insider,I used dating apps while traveling around the world for work. I ended up finding someone 2 hours away from home.,"Going on dates in Hong Kong, Indonesia, and Spain did help fill temporary voids of loneliness.","A few months after I left my husband, I downloaded multiple dating apps. It felt like foreign territory, as I'd met my ex-husband in college before dating apps existed a time when ""swiping right on T… [+3587 chars]",2025-01-24T00:14:01Z,https://www.businessinsider.com/online-dating-after-divorce-hard-found-love-remarried-traveling-abroad-2025-1
The Atlantic,Coffee’s Grip on America,Inflation hardly hampered Americans’ love of buying the beverage.,"This is an edition of The Atlantic Daily, a newsletter that guides you through the biggest stories of the day, helps you discover new ideas, and recommends the best in culture. Sign up for it here.Am… [+6032 chars]",2025-01-03T22:56:00Z,https://www.theatlantic.com/newsletters/archive/2025/01/coffees-grip-on-america/681211/
CNET,An Expert Explains Why You're Washing Your Coffee Maker Too Often,We asked a bona fide expert about the biggest coffee myths and mistakes.,"If you're like me, you might strive to make the best possible cup of coffee at home but can get overwhelmed (read: lazy) once scales and tampers get involved. I reached out to Sarina Prabasi, who fou… [+8532 chars]",2025-01-16T13:31:00Z,https://www.cnet.com/home/an-expert-explains-why-youre-washing-your-coffee-maker-too-often/
Rock Paper Shotgun,"Afterlove EP, the final game from the creator of Coffee Talk, launches next month","Making a game about emotionally wayward 20-somethings in a band? You have my sympathies. Night In The Woods nailed the assignment so thoroughly, and is so beloved, that you're in for some tough comparisons. Afterlove EP has plenty going for it that makes it s…","Making a game about emotionally wayward 20-somethings in a band? You have my sympathies. Night In The Woods nailed the assignment so thoroughly, and is so beloved, that you're in for some tough compa… [+1312 chars]",2025-01-16T08:03:37Z,https://www.rockpapershotgun.com/afterlove-ep-the-final-game-from-the-creator-of-coffee-talk-launches-next-month
International Business Times,The Global Forces Sending Coffee Prices Skyward,"Climate change, political headwinds and diverging market dynamics around the world have pushed coffee prices to fresh records, jacking up the cost of your everyday brew or a barista's signature macchiato.","Climate change, political headwinds and diverging market dynamics around the world have pushed coffee prices to fresh records, jacking up the cost of your everyday brew or a barista's signature macch… [+5102 chars]",2025-01-21T01:57:07Z,https://www.ibtimes.com/global-forces-sending-coffee-prices-skyward-3760149
Business Insider,I spent the year after my divorce traveling to 20 countries. It helped me heal and fall back in love.,"Online dating in Hong Kong, a one-night stand in Australia, and traveling across Asia, South America, and Australia all helped her recover from the divorce.","After Claire Volkman's marriage ended, she spent a year traveling to 20 countries.Claire Volkman
<ul><li>Claire Volkman got divorced and spent the following year traveling to 20 countries.</li><li>S… [+5991 chars]",2025-01-17T00:14:01Z,https://www.businessinsider.com/solo-travel-recovery-divorce-online-dating-finding-love-2025-1
Business Insider,"A palm oil company, a group of US financiers, and the destruction of Peru's rainforest","A company backed by US financiers sold ""deforestation-free"" palm oil to the makers of Cheetos, Colgate and Pepsi. But its investors have ties to the company that cleared Amazonian rainforest for plantations.","Two of the largest palm oil plantations in Peru are located on the west side of the Ucayali River, which flows from the Andes to the Amazon. From above, the surrounding landscape looks like stirred p… [+55738 chars]",2024-12-31T09:07:01Z,https://www.businessinsider.com/us-investors-and-the-destruction-of-peru-rainforest-2024-12
ABC News (AU),Why don't Australians source more coffee from our region?,"Australia is surrounded by coffee-growing countries like Papua New Guinea and Indonesia, but it imports most of its coffee from the other side of the world. With climate change and coffee bean prices skyrocketing, is it time to look closer to home?","In Australia, where coffee culture runs deep, consumers have been warned the price of their morning latte could rise to $8 or even double digits.
The root of the problem can be traced to the other s… [+8202 chars]",2025-01-20T18:58:42Z,https://www.abc.net.au/news/2025-01-21/why-dont-australians-source-more-coffee-from-our-region-/104818076
Raw Story,Brazil drought lights a fire under global coffee prices,"by Facundo FERNÁNDEZ BARRIOBrazilian coffee producer Moacir Donizetti first smelled the smoke, and then watched in desperation as a blaze consumed his family coffee plantation last year.The 54-year-old was one of hundreds of farmers hit by a brutal forest fir…","by Facundo FERNÁNDEZ BARRIO
Brazilian coffee producer Moacir Donizetti first smelled the smoke, and then watched in desperation as a blaze consumed his family coffee plantation last year.
The 54-ye… [+3435 chars]",2025-01-21T02:27:45Z,https://www.rawstory.com/coffee/
International Business Times,Brazil Drought Lights A Fire Under Global Coffee Prices,"Brazilian coffee producer Moacir Donizetti first smelled the smoke, and then watched in desperation as a blaze consumed his family coffee plantation last year.","Brazilian coffee producer Moacir Donizetti first smelled the smoke, and then watched in desperation as a blaze consumed his family coffee plantation last year.
The 54-year-old was one of hundreds of… [+3244 chars]",2025-01-21T02:21:15Z,https://www.ibtimes.com/brazil-drought-lights-fire-under-global-coffee-prices-3760157
Ritholtz.com,10 Weekend Reads,"The weekend is here! Pour yourself a mug of Colombia Tolima Los Brasiles Peaberry Organic coffee, grab a seat by the fire, and get ready for our longer-form weekend reads: • How Long Can Toyota Put Off Figuring Out EVs? The world’s No. 1 automaker has kept it…","How Long Can Toyota Put Off Figuring Out EVs? The worlds No. 1 automaker has kept its focus on hybrids and gas-guzzlers, for better and worse. (Businessweek)
 The Spectacular Burnout of a Solar Pane… [+2934 chars]",2025-01-25T11:30:17Z,https://ritholtz.com/2025/01/weekend-reads-647/
