title,description,content,publishedAt,source,url
Europe Ramps Up Natural Gas Reserves to Protect the Continent’s Energy Security,"As temperatures across Europe plummet this winter, people around the continent are reminded of the importance of a secure supply of natural gas to keep their homes warm. In November, Europe’s natural gas storage capacity was 95 percent full, marking a recogni…","As temperatures across Europe plummet this winter, people around the continent are reminded of the importance of a secure supply of natural gas to keep their homes warm.
In November, Europes natural… [+4433 chars]",2024-12-11T17:30:16Z,Energycentral.com,https://energycentral.com/c/og/europe-ramps-natural-gas-reserves-protect-continent%E2%80%99s-energy-security
Mercury Introduces Digital Signal Processing Products Powered by Altera’s Newest Agilex™ 9 FPGAs,"ANDOVER, Mass., Dec. 11, 2024 (GLOBE NEWSWIRE) -- Mercury Systems, Inc. (NASDAQ: MRCY, www.mrcy.com), a technology company that delivers mission-critical processing power to the edge, today introduced a system-on-module (SOM) and 3U SOSA-aligned OpenVPX board…","ANDOVER, Mass., Dec. 11, 2024 (GLOBE NEWSWIRE) -- Mercury Systems, Inc. (NASDAQ: MRCY, www.mrcy.com), a technology company that delivers mission-critical processing power to the edge, today introduce… [+8748 chars]",2024-12-11T17:24:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2024/12/11/2995623/18849/en/Mercury-Introduces-Digital-Signal-Processing-Products-Powered-by-Altera-s-Newest-Agilex-9-FPGAs.html
ITS Logistics December Port Rail Ramp Index: US West Coast Ports Experience Significant Import Volumes Amid Fears of January ILA Strike,-- ITS Logistics confirms East and Gulf Coast ports are experiencing normal calm post retail peak and prior to Lunar New Year -- -- ITS Logistics confirms East and Gulf Coast ports are experiencing normal calm post retail peak and prior to Lunar New Year --,"RENO, Nev., Dec. 11, 2024 (GLOBE NEWSWIRE) -- ITS Logistics today released the December forecast for the ITS Logistics US Port/Rail Ramp Freight Index. This month, the index confirms that at a macro … [+4778 chars]",2024-12-11T16:34:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2024/12/11/2995587/0/en/ITS-Logistics-December-Port-Rail-Ramp-Index-US-West-Coast-Ports-Experience-Significant-Import-Volumes-Amid-Fears-of-January-ILA-Strike.html
Ivanti fixed a maximum severity vulnerability in its CSA solution,"Ivanti addressed a critical authentication bypass vulnerability impacting its Cloud Services Appliance (CSA) solution. Ivanti addressed a critical authentication bypass vulnerability, tracked as CVE-2024-11639 (CVSS score of 10), in its Cloud Services Applian…","Ivanti fixed a maximum severity vulnerability in its CSA solution
 | Operation Digital Eye: China-linked relies on Visual Studio Code Remote Tunnels to spy on Europen entities
 | Chinese national c… [+122778 chars]",2024-12-11T14:47:28Z,Securityaffairs.com,https://securityaffairs.com/171850/breaking-news/ivanti-maximum-severity-flaw-csa-solution.html
Open partners with Will Smith on social commerce merch on Open SuperApp,Open announced that its social commerce Open SuperApp is launching a partnership with actor and artist Will Smith.,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
Open announced that its social commerce Open SuperApp is launching a pa… [+6987 chars]",2024-12-11T14:30:00Z,VentureBeat,https://venturebeat.com/games/open-partners-with-will-smith-on-social-commerce-merch-on-open-superapp/
"Importers of laptops, tablets to seek fresh authorisation for next year; window to open on December 13","India will require fresh authorizations for importing restricted IT hardware, including laptops and tablets, in 2025 under the Import Management System. The system ensures supply chain monitoring while addressing concerns over dependency on China.",Importers of certain IT hardware products including laptops and tablets will have to seek fresh authorisation for next year and the window of applications for the same will be opened from December 13… [+2086 chars],2024-12-11T13:46:58Z,The Times of India,https://economictimes.indiatimes.com/tech/technology/importers-of-laptops-tablets-to-seek-fresh-authorisation-for-next-year-window-to-open-on-december-13/articleshow/116217494.cms
Tactical Resources Announces Amendment to Business Combination Agreement,"VANCOUVER, British Columbia, Dec. 11, 2024 (GLOBE NEWSWIRE) — Tactical Resources Corp. (TSX.V: RARE | OTC: USREF) (“Tactical Resources” or the “Company”), a mineral exploration and development company, announced today that it has entered into an amending agre…","Author of the article:
Article content
VANCOUVER, British Columbia, Dec. 11, 2024 (GLOBE NEWSWIRE) Tactical Resources Corp. (TSX.V: RARE | OTC: USREF) (Tactical Resources or the Company), a mineral… [+20261 chars]",2024-12-11T13:33:53Z,Financial Post,https://financialpost.com/globe-newswire/tactical-resources-announces-amendment-to-business-combination-agreement
Tactical Resources Announces Amendment to Business Combination Agreement,"Tactical Resources Corp., a mineral exploration and development company has entered into an amending agreement with Plum Acquisition Corp. III.......","VANCOUVER, British Columbia, Dec. 11, 2024 (GLOBE NEWSWIRE) -- Tactical Resources Corp. (TSX.V: RARE | OTC: USREF) (Tactical Resources or the Company), a mineral exploration and development company, … [+17058 chars]",2024-12-11T13:30:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2024/12/11/2995402/0/en/Tactical-Resources-Announces-Amendment-to-Business-Combination-Agreement.html
New Impinj Research Reveals Top Headaches for Supply Chain Managers for 2025,New Impinj Research Reveals Top Headaches for Supply Chain Managers for 2025,"Findings highlight the need for data accuracy to bolster supply chain integrity and the use of AI in the year ahead
 SEATTLE--(BUSINESS WIRE)--Impinj, Inc. (NASDAQ: PI), a leading RAIN RFID provider… [+7158 chars]",2024-12-11T13:16:05Z,Investing.com,https://www.investing.com/news/press-releases/new-impinj-research-reveals-top-headaches-for-supply-chain-managers-for-2025-93CH-3766276
Vera Bradley Announces Third Quarter Fiscal Year 2025 Results,Consolidated net revenues totaled $80.6 million                                                                    Financial condition remains strong...,"Consolidated net revenues totaled $80.6 million
Financial condition remains strong with no debt and approximately $89 million of liquidity 
Updates outlook for fiscal year ending February 1, 2025
… [+50477 chars]",2024-12-11T13:00:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2024/12/11/2995337/17650/en/Vera-Bradley-Announces-Third-Quarter-Fiscal-Year-2025-Results.html
